iso3c,region_id,country_name,income_id,gdp,population_population_number_of_people,total_msw_total_msw_generated_tons_year,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_is_this_data_measured
LBN,MEA,Lebanon,UMC,16966.740234375,5603279,2040000,52.5,3.5,5.5,11,16,11.5,NA,NA,NA,NA,15,48,NA,NA,29,NA,8,NA,NA,NA,Source
LBR,SSF,Liberia,LIC,1333.4222412109375,3512932,564466.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,MEA,Libya,UMC,8479.9462890625,6193501,2147596.47175,70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,LCN,St. Lucia,UMC,14029.982421875,177206,77616.228,45,7,5,11,10,22,NA,NA,NA,NA,0.1,96.8,NA,NA,NA,2.6,NA,NA,0.5,NA,Disposal site
LIE,ECS,Liechtenstein,HIC,45726.98828125,36545,32382,37.6,5,12.5,9.1,30.3,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6,NA,35.4,NA,NA
LKA,SAS,Sri Lanka,LMC,12287.47265625,21203000,2631650,62,2,3,13,7,7,NA,6,NA,NA,5,NA,NA,NA,85,NA,12.79,NA,NA,NA,Databases
LSO,SSF,Lesotho,LMC,1978.6083984375,1965662,73457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,ECS,Lithuania,HIC,37278.3046875,2786844,1315390.375,40.4,8.65,2.75,44.05,10.05,10.15,NA,0.6,NA,NA,10.15,NA,11.54,54,NA,NA,22.92,NA,1.39,NA,NA
LUX,ECS,Luxembourg,HIC,114323.40625,619896,490337.75,30,4,2,27,19,18,NA,NA,NA,NA,19.66,NA,33.99,17.7,NA,NA,28.37,NA,0.28,NA,NA
LVA,ECS,Latvia,HIC,30982.173828125,1912789,839714.375,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,NA,NA,5.48,NA,NA,57.64,NA,NA,21.23,NA,15.65,NA,NA
