X,Y,xlo,ylo,fk_cat_especie,descripcion,perimetroestipite,alturaestipite,ObjectId
-6.00545733033241,37.40584429467755,233982,4144136,WFI,Washingtonia filifera,126,13.0,2101
-6.005391140796035,37.405833003521387,233987.8,4144135,WFI,Washingtonia filifera,140,13.0,2102
-6.005590283171704,37.405869925860408,233970.3,4144139,WFI,Washingtonia filifera,125,13.0,2103
-6.006378435041569,37.406001967507478,233901,4144156,WFI,Washingtonia filifera,106,4.0,2104
-5.985532929807913,37.401007708052354,235728.9,4143543,WFI,Washingtonia filifera,100,8.0,2105
-5.985611557755014,37.401133310772146,235722.4,4143557,WFI,Washingtonia filifera,100,8.0,2106
-5.98575509737406,37.401383240801309,235710.6,4143586,WFI,Washingtonia filifera,100,8.0,2107
-5.985686394119378,37.401262973917454,235716.2,4143572,WFI,Washingtonia filifera,100,8.0,2108
-6.006215148655,37.397085329325833,233883.8,4143166,WFI,Washingtonia filifera,38,2.0,2109
-6.006292256479694,37.396991369492603,233876.7,4143156,WFI,Washingtonia filifera,26,1.0,2110
-6.00163407004776,37.39732742194861,234290.3,4143180,WRO,Washingtonia robusta,116,14.0,2111
-6.001589752066877,37.397391351535639,234294.5,4143187,WRO,Washingtonia robusta,125,13.0,2112
-6.000446653556089,37.398893345036477,234401,4143351,WRO,Washingtonia robusta,97,9.0,2113
-6.000435877271729,37.398906323618391,234402,4143352,WRO,Washingtonia robusta,98,7.0,2114
-6.001193878156868,37.397925643181722,234331.4,4143245,WRO,Washingtonia robusta,119,14.0,2115
-5.998581670790313,37.400845259441418,234573,4143562,WRO,Washingtonia robusta,145,12.0,2116
-6.000929208426781,37.398283778310308,234356.1,4143284,WRO,Washingtonia robusta,117,14.0,2117
-6.00014351015857,37.39923848929304,234429.1,4143388,WRO,Washingtonia robusta,100,7.0,2118
-6.000080364644866,37.399311816931871,234434.9,4143396,WRO,Washingtonia robusta,106,9.0,2119
-5.999928230186262,37.399475978125821,234449,4143414,WRO,Washingtonia robusta,107,9.0,2120
-5.999862489216311,37.399549371562706,234455,4143422,WRO,Washingtonia robusta,97,10.0,2121
-5.999488954572979,37.399927928728481,234489.5,4143463,WRO,Washingtonia robusta,95,7.0,2122
-5.999430071570437,37.399977900574413,234494.8,4143468,WRO,Washingtonia robusta,102,7.0,2123
-5.975977109797251,37.400791982715774,236574.2,4143493,WRO,Washingtonia robusta,117,26.0,2124
-5.99893495179094,37.400488213784946,234540.5,4143523,WRO,Washingtonia robusta,108,11.0,2125
-5.976754415905469,37.401850787679649,236509.1,4143612,WRO,Washingtonia robusta,93,23.0,2126
-6.007474461783151,37.406107694218136,233804.3,4144171,WRO,Washingtonia robusta,123,14.0,2127
-6.00754121958646,37.406119059830523,233798.4,4144172,WRO,Washingtonia robusta,125,15.0,2128
-5.974889003753758,37.406592392581501,236690.9,4144133,WRO,Washingtonia robusta,176,17.0,2129
-5.974922322127327,37.406455313216298,236687.4,4144118,WRO,Washingtonia robusta,177,17.0,2130
-5.976095533246548,37.406460001767172,236583.6,4144122,WRO,Washingtonia robusta,114,19.0,2131
-6.008942125820655,37.406544092237901,233675.9,4144224,WRO,Washingtonia robusta,130,15.0,2132
-6.008875822432437,37.406532805961078,233681.7,4144222,WRO,Washingtonia robusta,127,15.0,2133
-6.008809628296791,37.406521426758488,233687.6,4144221,WRO,Washingtonia robusta,125,15.0,2134
-6.008758977230261,37.406455318143273,233691.8,4144213,WRO,Washingtonia robusta,115,14.0,2135
-6.008823980525082,37.406467989181728,233686.1,4144215,WRO,Washingtonia robusta,138,15.0,2136
-6.008743437781598,37.406510137531392,233693.4,4144219,WRO,Washingtonia robusta,143,15.0,2137
-5.976138369274928,37.407268074255484,236582.6,4144212,WRO,Washingtonia robusta,167,17.0,2138
-6.007674855286799,37.406141968093543,233786.7,4144175,WRO,Washingtonia robusta,126,17.0,2139
-6.007608093846438,37.406130512544934,233792.5,4144174,WRO,Washingtonia robusta,133,16.0,2140
-6.007586562455834,37.406210623737309,233794.7,4144183,WRO,Washingtonia robusta,130,16.0,2141
-6.007453702110411,37.406187335214597,233806.4,4144180,WRO,Washingtonia robusta,200,11.0,2142
-6.007519688126139,37.406199171013817,233800.6,4144181,WRO,Washingtonia robusta,250,9.0,2143
-5.971454252534514,37.409008714384505,237003.4,4144392,WRO,Washingtonia robusta,115,10.0,2144
-5.971448708634908,37.40879989789358,237003.2,4144369,WRO,Washingtonia robusta,105,19.0,2145
-5.975776275725187,37.408721414948275,236619.8,4144372,WRO,Washingtonia robusta,178,18.0,2146
-5.97145120314402,37.408862999491369,237003.2,4144376,WRO,Washingtonia robusta,117,17.0,2147
-5.97914629915563,37.408477794204003,236320.6,4144354,WRO,Washingtonia robusta,144,21.0,2148
-5.978723517926186,37.408198855637202,236357,4144322,WRO,Washingtonia robusta,154,24.0,2149
-5.976194256723239,37.40814042377805,236580.7,4144309,WRO,Washingtonia robusta,173,19.0,2150
-5.972467053675708,37.408235172720353,236911,4144309,WRO,Washingtonia robusta,114,9.0,2151
-5.972436460533703,37.408164218131979,236913.5,4144301,WRO,Washingtonia robusta,117,13.0,2152
-5.972387213785821,37.408038588009347,236917.4,4144287,WRO,Washingtonia robusta,11,11.0,2153
-5.972410605094901,37.408107381075169,236915.6,4144294,WRO,Washingtonia robusta,119,12.0,2154
-6.002175982281106,37.409894805732669,234286.8,4144576,WRO,Washingtonia robusta,127,14.0,2155
-6.002307194761052,37.409404451205098,234273.4,4144522,WRO,Washingtonia robusta,109,12.0,2156
-6.001903698368722,37.410905950207614,234314.5,4144688,WRO,Washingtonia robusta,121,12.0,2157
-5.981368387332509,37.412051825576633,236136.4,4144757,WRO,Washingtonia robusta,136,22.0,2158
-6.003866891359957,37.415579272145585,234157.2,4145212,WRO,Washingtonia robusta,119,12.0,2159
-6.00394655642415,37.415579859175473,234150.2,4145212,WRO,Washingtonia robusta,120,12.0,2160
-5.966949211444907,37.319334276231444,237089.2,4134427,WRO,Washingtonia robusta,115,NULL,2161
-5.966842467953267,37.319328214576672,237098.6,4134426,WRO,Washingtonia robusta,115,NULL,2162
-5.966753280411845,37.31932675828002,237106.5,4134426,WRO,Washingtonia robusta,115,NULL,2163
-5.966650402227231,37.319327177278105,237115.7,4134426,WRO,Washingtonia robusta,115,NULL,2164
-5.966654281987276,37.319635156305289,237116.4,4134460,WRO,Washingtonia robusta,115,NULL,2165
-5.966752656256077,37.319637823853583,237107.7,4134460,WRO,Washingtonia robusta,115,NULL,2166
-5.966838096328269,37.319638653328369,237100.1,4134461,WRO,Washingtonia robusta,115,NULL,2167
-5.966937198754139,37.319636887199181,237091.3,4134461,WRO,Washingtonia robusta,115,NULL,2168
-5.986404806493788,37.356031930417373,235493.6,4138554,WRO,Washingtonia robusta,70,NULL,2169
-5.986387182264496,37.356023004708312,235495.2,4138553,WRO,Washingtonia robusta,70,NULL,2170
-5.986411264572953,37.356015457982174,235493,4138552,WRO,Washingtonia robusta,70,NULL,2171
-5.921662979734226,37.392391369086404,241354.2,4142410,WRO,Washingtonia robusta,NULL,11.0,2172
-5.922057440634296,37.392210680311912,241318.6,4142391,WRO,Washingtonia robusta,NULL,11.0,2173
-5.974900805752661,37.41536391058537,236720.6,4145107,WRO,Washingtonia robusta,122,25.0,2174
-5.974978397464169,37.415389168343197,236713.8,4145110,WRO,Washingtonia robusta,106,25.0,2175
-5.975203519800204,37.354498348418922,236480.6,4138353,WRO,Washingtonia robusta,100,8.0,2176
-5.975145472571536,37.354523327496935,236485.8,4138355,WRO,Washingtonia robusta,100,8.0,2177
-5.941124216394787,37.399334306308994,239655,4143234,PHC,Phoenix canariensis,272,2.0,2178
-5.940660821242425,37.399051643067288,239695,4143201,PHC,Phoenix canariensis,206,1.0,2179
-5.941498016502972,37.397127294479482,239614.2,4142990,PHC,Phoenix canariensis,323,3.0,2180
-5.941438064766388,37.397124912557864,239619.5,4142990,PHC,Phoenix canariensis,332,4.0,2181
-5.94117190455102,37.397120185557974,239643.1,4142988,PHC,Phoenix canariensis,352,3.0,2182
-5.943395237368507,37.397160146874185,239446.4,4142999,PHC,Phoenix canariensis,241,3.0,2183
-5.944411320175532,37.398073379608157,239359.6,4143103,PHC,Phoenix canariensis,257,3.0,2184
-5.943588811676054,37.397185960264594,239429.3,4143002,PHC,Phoenix canariensis,244,2.0,2185
-5.940729279978235,37.399101119683415,239689.1,4143207,PHC,Phoenix canariensis,141,1.0,2186
-5.940970245889724,37.399238301026791,239668.3,4143223,PHC,Phoenix canariensis,135,4.0,2187
-5.941609214552154,37.397128941035859,239604.4,4142991,PHC,Phoenix canariensis,252,2.0,2188
-5.943796126061065,37.397242517804109,239411.2,4143009,PHC,Phoenix canariensis,237,2.0,2189
-5.944357647664825,37.397813137354227,239363.4,4143074,PHC,Phoenix canariensis,286,2.0,2190
-5.941371095791005,37.399293468744233,239633,4143230,PHC,Phoenix canariensis,357,3.0,2191
-5.941658971900917,37.399477777928496,239608.1,4143251,PHC,Phoenix canariensis,310,3.0,2192
-5.941976975591897,37.399675753209493,239580.7,4143274,PHC,Phoenix canariensis,NULL,NULL,2193
-5.94149226188415,37.399567169937292,239623.2,4143261,PHC,Phoenix canariensis,256,2.0,2194
